n,k,Algo,time
100,50,c,0.000603
110,55,c,0.000629
120,60,c,0.000647
130,65,c,0.000733
140,70,c,0.000852
150,75,c,0.001006
160,80,c,0.001040
170,85,c,0.000944
180,90,c,0.001114
190,95,c,0.001023
200,100,c,0.001023
210,105,c,0.001083
220,110,c,0.001067
230,115,c,0.001170
240,120,c,0.001188
250,125,c,0.001284
260,130,c,0.001315
270,135,c,0.001387
280,140,c,0.001864
290,145,c,0.001317
300,150,c,0.001460
310,155,c,0.001548
320,160,c,0.001500
330,165,c,0.001579
340,170,c,0.002013
350,175,c,0.001687
360,180,c,0.001987
370,185,c,0.001745
380,190,c,0.001804
390,195,c,0.001977
400,200,c,0.001916
410,205,c,0.002047
420,210,c,0.002071
430,215,c,0.002059
440,220,c,0.002170
450,225,c,0.002089
460,230,c,0.002193
470,235,c,0.002219
480,240,c,0.002485
490,245,c,0.002351
500,250,c,0.002234
510,255,c,0.002388
520,260,c,0.002399
530,265,c,0.002453
540,270,c,0.002604
550,275,c,0.002553
560,280,c,0.002655
570,285,c,0.002704
580,290,c,0.002773
590,295,c,0.002733
600,300,c,0.003098
610,305,c,0.002801
620,310,c,0.002522
630,315,c,0.002410
640,320,c,0.002896
650,325,c,0.003082
660,330,c,0.002928
670,335,c,0.003048
680,340,c,0.003149
690,345,c,0.003105
700,350,c,0.003190
710,355,c,0.003156
720,360,c,0.003403
730,365,c,0.003677
740,370,c,0.003311
750,375,c,0.003404
760,380,c,0.003514
770,385,c,0.003574
780,390,c,0.003845
790,395,c,0.003567
800,400,c,0.003597
810,405,c,0.003603
820,410,c,0.003859
830,415,c,0.003567
840,420,c,0.003801
850,425,c,0.003990
860,430,c,0.004101
870,435,c,0.004130
880,440,c,0.004102
890,445,c,0.004346
900,450,c,0.004265
910,455,c,0.004275
920,460,c,0.004199
930,465,c,0.004221
940,470,c,0.004342
950,475,c,0.004684
960,480,c,0.004561
970,485,c,0.004380
980,490,c,0.004388
990,495,c,0.004561
21,10,b,0.001042
21,10,a,0.001178
21,10,b,0.000952
21,10,c,0.001011
21,10,c,0.001463
1,0,c,0.000896
